"CV_ID","Date","Plate.x","Bucket#.x","sal.treat.x","TA.treat.x","SA.mm2","SA.mm2.SE","SA.mm2.RE","SA.mm2.1","date.numb","notes.x","SA.start","grow.ratio","grow.perc","dps","mm2.diff.start","pixel ratio_original","pixels measured","pixel ratio_MEDIAN","pixel ratio_SE","Diff_time","Diff_growth","Net_growth.d","incr_growth.d","Net_growth.w","incr_growth.w","Net_growth","Plate.y","Bucket#.y","sal.treat.y","TA.treat.y","tare boat (mg)","shell+gut+boat (mg)","boat+gut (mg)","notes.y","post muff","post muff.2","gut.wt","shell.wt","orgC.shell.wt","%oc.ic.shell","code","CI","bucket","med.ta","med.pH","med.S","med.T"
1,2022-08-30,1,6,"amb",2000,282.787952006251,597186.173633575,291.0205,282.639,2459822,NA,275.741,1.05541250666386,105.541250666386,36,6.89800000000002,11.0114,3112.2510846,11.0056,0.00521152568831848,18,NA,0.424430555555555,NA,2.97101388888889,NA,15.2795,"1","6","amb","2000",86.6625,793.26,97.3801,NA,771.2186,770.8483,10.7176,782.5424,11.3237999999999,1.447052581432,0,0.0136958713035869,6,1928.58629557829,NA,34.01,16.3
1,2022-07-25,1,6,"amb",2000,281.027,40997.3254954432,275.741,281.027,2459786,NA,275.741,1,100,0,5.286,14.8003,4159.2839081,14.8003,0.101452566913476,NA,NA,NA,NA,NA,NA,0,"1","6","amb","2000",86.6625,793.26,97.3801,NA,771.2186,770.8483,10.7176,782.5424,11.3237999999999,1.447052581432,0,0.0136958713035869,6,1928.58629557829,NA,34.01,16.3
2,2022-08-30,1,6,"amb",2000,97.1641789816094,205189.449722358,103.8,97.113,2459822,NA,100.7405,1.03037010934033,103.037010934033,36,-3.6275,11.0114,1069.3500882,11.0056,0.00521152568831848,18,NA,0.0849861111111111,NA,0.594902777777778,NA,3.0595,"1","6","amb","2000",68.0252,277.6034,74.4288,NA,269.3403,269.2768,6.4036,271.1998,1.85950000000001,0.685656847829538,0,0.023612111808342,6,1928.58629557829,NA,34.01,16.3
2,2022-07-25,1,6,"amb",2000,100.689,14688.9078515967,100.7405,100.689,2459786,NA,100.7405,1,100,0,-0.0515000000000043,14.8003,1490.2274067,14.8003,0.101452566913476,NA,NA,NA,NA,NA,NA,0,"1","6","amb","2000",68.0252,277.6034,74.4288,NA,269.3403,269.2768,6.4036,271.1998,1.85950000000001,0.685656847829538,0,0.023612111808342,6,1928.58629557829,NA,34.01,16.3
3,2022-07-25,1,6,"amb",2000,164.396,23982.7359013507,162.4245,164.396,2459786,NA,162.4245,1,100,0,1.97149999999999,14.8003,2433.1101188,14.8003,0.101452566913476,NA,NA,NA,NA,NA,NA,0,"1","6","amb","2000",55.0227,431.3439,64.8405,NA,416.8458,416.7616,9.81780000000001,421.5261,4.68030000000002,1.11032270599615,0,0.0232910844666558,6,1928.58629557829,NA,34.01,16.3
3,2022-08-30,1,6,"amb",2000,161.479055353638,341008.372190028,166.428,161.394,2459822,NA,162.4245,1.0246483750912,102.46483750912,36,-1.03049999999999,11.0114,1777.1738916,11.0056,0.00521152568831848,18,NA,0.111208333333333,NA,0.778458333333334,NA,4.0035,"1","6","amb","2000",55.0227,431.3439,64.8405,NA,416.8458,416.7616,9.81780000000001,421.5261,4.68030000000002,1.11032270599615,0,0.0232910844666558,6,1928.58629557829,NA,34.01,16.3
4,2022-08-30,1,6,"amb",2000,76.3952394235662,161330.001478181,81.1305,76.355,2459822,NA,78.421,1.03455069432933,103.455069432933,36,-2.06599999999999,11.0114,840.775447,11.0056,0.00521152568831848,18,NA,0.0752638888888894,NA,0.526847222222226,NA,2.70950000000002,"1","6","amb","2000",59.4653,236.9885,62.5019,NA,231.6219,231.5603,3.0366,233.9519,2.32999999999998,0.995931214920664,0,0.0129795911039833,6,1928.58629557829,NA,34.01,16.3
4,2022-07-25,1,6,"amb",2000,79.959,11664.7338130861,78.421,79.959,2459786,NA,78.421,1,100,0,1.53800000000001,14.8003,1183.4171877,14.8003,0.101452566913476,NA,NA,NA,NA,NA,NA,0,"1","6","amb","2000",59.4653,236.9885,62.5019,NA,231.6219,231.5603,3.0366,233.9519,2.32999999999998,0.995931214920664,0,0.0129795911039833,6,1928.58629557829,NA,34.01,16.3
5,2022-08-30,1,6,"amb",2000,220.875340971869,466440.309034402,227.6015,220.759,2459822,NA,235.8765,0.964918082131963,96.4918082131963,36,-15.1175,11.0114,2430.8656526,11.0056,0.00521152568831848,18,NA,-0.229861111111112,NA,-1.60902777777778,NA,-8.27500000000003,"1","6","amb","2000",54.0482,679.09,63.4887,NA,660.0852,659.8465,9.4405,669.6495,9.56430000000005,1.42825463171406,0,0.0140976734844124,6,1928.58629557829,NA,34.01,16.3
5,2022-07-25,1,6,"amb",2000,239.685,34966.1917231273,235.8765,239.685,2459786,NA,235.8765,1,100,0,3.80849999999998,14.8003,3547.4099055,14.8003,0.101452566913476,NA,NA,NA,NA,NA,NA,0,"1","6","amb","2000",54.0482,679.09,63.4887,NA,660.0852,659.8465,9.4405,669.6495,9.56430000000005,1.42825463171406,0,0.0140976734844124,6,1928.58629557829,NA,34.01,16.3
8,2022-07-25,1,6,"amb",2000,116.257,16960.0290012125,115.82,116.257,2459786,NA,115.82,1,100,0,0.437000000000012,14.8003,1720.6384771,14.8003,0.101452566913476,NA,NA,NA,NA,NA,NA,0,"1","6","amb","2000",78.5378,355.4189,84.0078,NA,346.2853,346.1703,5.47,349.9489,3.6636,1.04689570391563,0,0.0156308535331873,6,1928.58629557829,NA,34.01,16.3
8,2022-08-30,1,6,"amb",2000,128.562717434761,271496.281054795,129.4825,128.495,2459822,NA,115.82,1.11796321878777,111.796321878777,36,12.675,11.0114,1414.909843,11.0056,0.00521152568831848,18,NA,0.37951388888889,NA,2.65659722222223,NA,13.6625,"1","6","amb","2000",78.5378,355.4189,84.0078,NA,346.2853,346.1703,5.47,349.9489,3.6636,1.04689570391563,0,0.0156308535331873,6,1928.58629557829,NA,34.01,16.3
9,2022-07-25,1,6,"amb",2000,73.709,10752.9591994492,72.3375,73.709,2459786,NA,72.3375,1,100,0,1.3715,14.8003,1090.9153127,14.8003,0.101452566913476,NA,NA,NA,NA,NA,NA,0,"1","6","amb","2000",62.9308,181.3746,65.0918,NA,177.7065,177.6699,2.16100000000001,179.2136,1.50709999999997,0.840951802764954,0,0.0120582366516827,6,1928.58629557829,NA,34.01,16.3
9,2022-08-30,1,6,"amb",2000,78.6724388856582,166138.947629243,82.213,78.631,2459822,NA,72.3375,1.13651978572663,113.651978572663,36,6.29349999999999,11.0114,865.8373934,11.0056,0.00521152568831848,18,NA,0.274319444444444,NA,1.92023611111111,NA,9.87549999999999,"1","6","amb","2000",62.9308,181.3746,65.0918,NA,177.7065,177.6699,2.16100000000001,179.2136,1.50709999999997,0.840951802764954,0,0.0120582366516827,6,1928.58629557829,NA,34.01,16.3
10,2022-07-25,1,6,"amb",2000,161.388,23543.9170152995,159.2885,161.388,2459786,NA,159.2885,1,100,0,2.09950000000001,14.8003,2388.5908164,14.8003,0.101452566913476,NA,NA,NA,NA,NA,NA,0,"1","6","amb","2000",62.829,438.4713,70.834,NA,424.9366,424.8018,8.005,430.4663,5.52969999999998,1.28458371770333,0,0.018596113098749,6,1928.58629557829,NA,34.01,16.3
10,2022-08-30,1,6,"amb",2000,162.238455350004,342612.058538295,166.816,162.153,2459822,NA,159.2885,1.04725702106555,104.725702106555,36,2.86449999999999,11.0114,1785.5315442,11.0056,0.00521152568831848,18,NA,0.209097222222222,NA,1.46368055555556,NA,7.5275,"1","6","amb","2000",62.829,438.4713,70.834,NA,424.9366,424.8018,8.005,430.4663,5.52969999999998,1.28458371770333,0,0.018596113098749,6,1928.58629557829,NA,34.01,16.3
