CV_ID,Date,Plate.x,Bucket#.x,sal.treat.x,TA.treat.x,SA.mm2,SA.mm2.SE,SA.mm2.1,date.numb,notes.x,SA.start,grow.ratio,grow.perc,dps,mm2.diff.start,pixel ratio_original,pixels measured,pixel ratio_MEDIAN,pixel ratio_SE,Diff_time,Diff_growth,incr_growth,tare boat (mg),shell+gut+boat (mg),boat+gut (mg),post muff,post muff.2,gut.wt,shell.wt,orgC.shell.wt,%oc.ic.shell,code,CI,bucket,med.ta,med.S,med.pH,rank.ig,prob.ig,net_growth,rank.ng,prob.ng
1,7/25/2022,1,6,amb,2000,281.027,40997.3255,281.027,2459786,NA,281.027,1,100,0,0,14.8003,4159.283908,14.8003,0.101452567,NA,NA,NA,86.6625,793.26,97.3801,771.2186,770.8483,10.7176,782.5424,11.3238,1.447052581,0,0.013695871,6,1847.45764,34.01,8.03,,0,0,,0
2,7/25/2022,1,6,amb,2000,100.689,14688.90785,100.689,2459786,NA,100.689,1,100,0,0,14.8003,1490.227407,14.8003,0.101452567,NA,NA,NA,68.0252,277.6034,74.4288,269.3403,269.2768,6.4036,271.1998,1.8595,0.685656848,0,0.023612112,6,1847.45764,34.01,8.03,,0,0,,0
3,7/25/2022,1,6,amb,2000,164.396,23982.7359,164.396,2459786,NA,164.396,1,100,0,0,14.8003,2433.110119,14.8003,0.101452567,NA,NA,NA,55.0227,431.3439,64.8405,416.8458,416.7616,9.8178,421.5261,4.6803,1.110322706,0,0.023291084,6,1847.45764,34.01,8.03,,0,0,,0
4,7/25/2022,1,6,amb,2000,79.959,11664.73381,79.959,2459786,NA,79.959,1,100,0,0,14.8003,1183.417188,14.8003,0.101452567,NA,NA,NA,59.4653,236.9885,62.5019,231.6219,231.5603,3.0366,233.9519,2.33,0.995931215,0,0.012979591,6,1847.45764,34.01,8.03,,0,0,,0
5,7/25/2022,1,6,amb,2000,239.685,34966.19172,239.685,2459786,NA,239.685,1,100,0,0,14.8003,3547.409906,14.8003,0.101452567,NA,NA,NA,54.0482,679.09,63.4887,660.0852,659.8465,9.4405,669.6495,9.5643,1.428254632,0,0.014097673,6,1847.45764,34.01,8.03,,0,0,,0
8,7/25/2022,1,6,amb,2000,116.257,16960.029,116.257,2459786,NA,116.257,1,100,0,0,14.8003,1720.638477,14.8003,0.101452567,NA,NA,NA,78.5378,355.4189,84.0078,346.2853,346.1703,5.47,349.9489,3.6636,1.046895704,0,0.015630854,6,1847.45764,34.01,8.03,,0,0,,0
9,7/25/2022,1,6,amb,2000,73.709,10752.9592,73.709,2459786,NA,73.709,1,100,0,0,14.8003,1090.915313,14.8003,0.101452567,NA,NA,NA,62.9308,181.3746,65.0918,177.7065,177.6699,2.161,179.2136,1.5071,0.840951803,0,0.012058237,6,1847.45764,34.01,8.03,,0,0,,0
10,7/25/2022,1,6,amb,2000,161.388,23543.91702,161.388,2459786,NA,161.388,1,100,0,0,14.8003,2388.590816,14.8003,0.101452567,NA,NA,NA,62.829,438.4713,70.834,424.9366,424.8018,8.005,430.4663,5.5297,1.284583718,0,0.018596113,6,1847.45764,34.01,8.03,,0,0,,0
11,7/25/2022,1,6,amb,2000,317.165,46269.27925,317.165,2459786,NA,317.165,1,100,0,0,14.8003,4694.13715,14.8003,0.101452567,NA,NA,NA,77.9739,1252.5301,91.0841,1220.4804,1219.5886,13.1102,1239.4199,18.9395,1.528093909,0,0.01057769,6,1847.45764,34.01,8.03,,0,0,,0
12,7/25/2022,1,6,amb,2000,124.415,18150.15017,124.415,2459786,NA,124.415,1,100,0,0,14.8003,1841.379325,14.8003,0.101452567,NA,NA,NA,78.3415,338.1545,82.5111,329.7496,329.5788,4.1696,333.9849,4.2353,1.268111223,0,0.012484397,6,1847.45764,34.01,8.03,,0,0,,0
