 ,Area
1,270.455
2,100.792
3,160.453
4,76.883
5,232.068
6,80.376
7,87.171
8,115.383
9,70.966
10,157.189
11,306.341
12,119.031
13,135.448
14,95.983
15,118.629
16,108.912
17,97.022
18,112.206
19,138.695
20,95.771
21,130.042
22,372.706
23,93.733
24,131.233
25,198.316
26,95.507
27,199.641
28,147.368
29,81.008
30,221.728
31,153.108
32,117.746
33,65.045
34,115.149
35,189.668
36,96.598
37,98.061
38,137.097
39,104.826
40,236.327
41,97.368
42,171.568
43,212.587
44,95.646
45,208.964
46,121.797
47,188.980
48,129.796
49,188.058
50,223.395
51,105.068
52,81.522
53,122.875
54,69.265
55,106.212
56,162.324
57,88.075
58,118.709
59,95.976
60,142.571
61,227.576
62,131.280
63,123.930
64,109.795
65,205.776
66,66.170
67,119.161
68,84.843
69,219.596
70,93.531
71,184.092
72,143.458
73,88.305
74,99.203
75,124.848
76,84.145
77,187.020
78,75.168
79,105.944
80,178.583
81,88.793
82,136.763
83,132.487
84,179.554
85,131.028
86,103.389
87,161.527
88,144.433
89,278.667
90,94.932
91,93.956
92,217.623
93,139.444
94,138.389
95,217.760
96,93.820
97,284.722
98,128.468
99,87.725
100,306.153
101,81.099
102,86.639
103,105.344
104,155.994
105,232.085
106,72.759
107,145.624
108,133.385
109,192.938
110,172.051
111,121.746
112,86.907
113,83.917
114,127.104
115,239.320
116,70.137
117,96.864
118,194.919
119,92.215
120,201.954
121,179.981
122,118.397
123,141.093
124,195.964
125,81.558
126,150.791
127,101.422
128,153.245
129,86.003
130,89.765
131,93.274
132,125.409
133,97.837
134,94.315
135,96.760
136,162.784
137,207.335
138,95.487
139,107.212
140,150.627
141,211.957
142,157.171
143,115.906
144,128.677
145,73.391
146,149.586
147,133.576
148,129.485
149,115.243
150,114.547
151,273.182
152,158.198
153,159.245
154,146.090
155,195.137
156,191.489
157,126.681
158,125.603
159,126.233
160,270.718
161,86.855
162,83.832
163,82.567
164,163.442
165,103.150
166,105.025
167,107.855
168,136.827
169,165.749
170,138.662
171,297.658
172,108.191
173,159.453
174,92.749
175,79.193
176,143.377
177,182.094
178,161.587
179,128.916
180,118.256
181,277.689
182,110.182
183,203.323
184,112.230
185,107.764
186,239.693
187,145.968
188,122.804
189,107.774
190,108.404
191,81.535
192,112.687
193,103.364
194,129.709
195,214.080
196,136.888
197,223.111
198,93.513
199,170.286
200,170.277
201,156.813
202,74.923
203,99.422
204,144.108
205,190.270
206,131.597
207,235.923
208,142.914
209,101.180
210,288.868
211,113.908
212,106.043
213,113.131
214,97.108
215,191.190
216,209.864
217,117.786
218,108.971
219,251.113
220,84.708
221,92.569
222,87.438
223,125.730
224,83.080
225,94.378
226,85.393
227,94.374
228,82.580
229,95.146
230,106.667
231,168.177
232,138.056
233,105.543
234,98.034
235,163.156
236,302.656
237,114.588
238,204.178
239,191.547
240,78.999
241,168.024
242,96.285
243,158.775
244,144.422
245,117.402
246,114.507
247,166.177
248,92.580
249,231.535
250,102.458
251,139.356
252,133.255
253,213.872
254,115.430
255,150.630
256,82.814
257,116.956
258,128.244
259,121.860
260,111.932
261,122.292
262,182.602
263,121.027
264,129.226
265,111.022
266,284.210
267,131.796
268,115.304
269,246.506
270,131.522
271,81.585
272,90.383
273,119.527
274,124.462
275,154.750
276,88.136
277,84.683
278,226.209
279,89.667
280,95.628
281,103.377
282,238.370
283,78.955
284,137.830
285,91.927
286,124.935
287,170.423
288,91.990
289,102.958
290,196.051
291,78.276
292,109.113
293,201.027
294,75.142
295,173.101
296,148.190
297,115.112
298,104.677
299,131.511
300,85.379
301,177.736
302,173.597
303,153.115
304,92.095
305,362.292
306,141.922
307,130.108
308,90.206
309,103.990
310,221.417
311,106.151
312,136.824
313,115.514
314,74.953
315,241.300
316,73.405
317,172.540
318,162.638
319,115.945
320,79.443
321,182.802
322,121.964
323,315.613
324,157.979
325,115.889
326,86.225
327,96.600
328,148.966
329,110.430
330,204.336
331,98.943
332,54.761
333,234.097
334,129.298
335,117.465
336,133.410
337,108.765
338,245.622
339,79.312
340,137.886
341,120.140
342,259.972
343,107.755
344,120.603
345,87.596
346,219.826
347,94.905
348,0.567
349,78.521
350,137.447
351,171.075
352,82.330
353,105.046
354,124.969
355,133.061
356,145.876
357,91.889
358,254.246
359,88.613
360,93.492
361,138.053
362,80.687
363,99.237
364,275.114
365,106.527
366,79.925
367,110.893
368,201.697
369,143.118
370,177.773
371,98.362
372,86.315
373,171.163
374,145.861
375,78.433
376,99.272
377,167.110
378,151.244
379,144.394
380,174.933
381,107.500
382,86.163
383,244.062
384,135.633
385,138.552
386,201.305
387,107.466
388,224.216
389,136.635
390,89.698
391,108.957
392,259.214
393,101.834
394,79.961
395,115.350
396,199.204
397,130.145
398,172.095
399,125.595
400,60.504
401,83.091
402,215.653
403,78.709
404,144.129
405,81.434
406,101.818
407,246.791
408,91.166
409,79.185
410,103.660
411,88.680
412,206.704
413,137.309
414,79.407
415,116.913
416,91.626
417,145.298
418,164.110
419,94.490
420,154.698
421,135.894
422,119.416
423,142.803
424,128.328
425,137.945
426,115.711
427,220.638
428,95.507
429,109.433
430,77.277
431,70.577
432,156.101
433,98.433
434,107.890
435,131.175
436,196.106
437,84.322
438,100.821
439,107.734
440,245.232
441,158.280
442,99.906
443,94.803
444,129.978
445,287.736
446,113.067
447,114.029
448,79.732
449,239.846
450,172.789
451,162.341
452,93.509
453,113.013
454,100.803
455,165.777
456,133.742
457,135.185
458,88.381
459,0.684
460,86.159
461,317.277
462,83.164
463,91.560
464,93.945
465,150.900
466,135.249
467,116.791
468,107.825
469,139.797
470,79.504
471,312.294
472,75.056
473,150.965
474,102.291
475,70.300
476,203.437
477,160.987
478,140.972
479,81.661
480,160.312
481,82.470
482,262.539
483,63.392
484,118.835
485,113.171
486,115.780
487,112.537
488,160.099
489,80.005
490,166.457
491,148.129
492,162.136
493,192.642
494,112.739
495,81.991
496,190.820
497,81.596
498,76.500
499,83.409
500,69.749
501,143.014
502,108.057
503,121.090
504,153.708
505,208.182
506,80.458
507,88.833
508,92.613
509,327.425
510,99.243
511,132.951
512,94.957
513,62.199
514,262.570
515,119.219
516,108.992
517,164.764
518,92.011
519,112.821
520,166.297
521,114.937
522,115.077
523,133.404
524,94.508
525,169.725
526,188.110
527,99.831
528,98.891
529,95.135
530,63.770
531,120.130
532,117.932
533,71.466
534,126.581
535,81.191
536,190.714
537,77.411
538,214.928
539,57.825
540,218.943
541,99.848
542,97.305
543,78.628
544,126.170
545,80.801
546,148.818
547,91.601
548,168.174
549,156.491
550,133.330
551,76.393
552,157.047
553,168.250
554,137.069
555,83.710
556,130.497
557,64.283
558,375.145
559,97.153
560,88.336
561,138.460
562,153.459
563,157.839
564,109.842
565,71.909
566,186.163
567,237.658
568,197.143
569,70.732
570,107.023
571,170.053
572,268.710
573,102.335
574,109.998
575,133.098
576,183.373
577,59.642
578,62.238
579,127.755
580,75.377
581,257.132
582,132.756
583,82.775
584,103.303
585,192.536
586,128.025
587,189.964
588,74.106
