 ,Area
1,107.711
2,86.556
3,122.769
4,216.071
5,139.763
6,180.185
7,131.074
8,63.898
9,86.630
10,229.918
11,85.507
12,149.836
13,90.800
14,105.931
15,268.530
16,94.974
17,84.897
18,112.330
19,92.672
20,218.030
21,146.867
22,85.689
23,125.615
24,93.355
25,151.873
26,173.055
27,104.943
28,162.930
29,148.974
30,129.520
31,151.455
32,139.645
33,149.026
34,122.399
35,235.390
36,100.960
37,116.348
38,81.545
39,80.126
40,162.063
41,106.223
42,119.613
43,142.457
44,217.007
45,91.196
46,111.729
47,117.166
48,259.828
49,176.328
