 ,Area
1,301.203
2,110.709
3,165.064
4,81.586
5,227.519
6,82.694
7,0.192
8,126.842
9,78.503
10,164.645
11,306.591
12,120.988
13,137.444
14,92.535
15,135.373
16,114.756
17,100.317
18,114.439
19,143.682
20,93.319
21,129.997
22,419.365
23,99.150
24,138.964
25,199.210
26,91.500
27,199.401
28,154.439
29,1.550
30,248.758
31,165.950
32,123.741
33,68.578
34,113.026
35,197.893
36,115.540
37,124.879
38,143.394
39,120.599
40,252.846
41,104.250
42,168.746
43,248.099
44,111.625
45,234.116
46,135.055
47,204.687
48,133.176
49,191.949
50,242.154
51,113.852
52,85.388
53,122.430
54,68.289
55,104.182
56,154.292
57,96.289
58,119.089
59,103.491
60,140.848
61,227.454
62,127.554
63,119.071
64,123.246
65,229.049
66,75.096
67,129.381
68,82.926
69,219.359
70,93.206
71,204.201
72,169.928
73,105.658
74,103.046
75,124.936
76,83.918
77,190.292
78,89.852
79,124.597
80,200.597
81,89.281
82,149.683
83,141.174
84,188.703
85,158.097
86,120.308
87,190.863
88,158.060
89,309.294
90,107.334
91,108.345
92,275.184
93,163.680
94,164.038
95,255.460
96,105.055
97,326.217
98,134.656
99,91.732
100,288.222
101,74.601
102,82.251
103,100.960
104,146.988
105,218.138
106,76.921
107,140.186
108,123.126
109,176.603
110,169.749
111,114.805
112,89.865
113,78.965
114,129.509
115,227.384
116,74.312
117,93.039
118,194.812
119,91.820
120,205.276
121,194.871
122,120.694
123,154.685
124,201.943
125,90.071
126,149.337
127,108.433
128,154.455
129,94.535
130,96.573
131,93.811
132,137.736
133,114.775
134,106.725
135,95.972
136,168.742
137,224.622
138,106.666
139,108.780
140,165.379
141,225.116
142,175.785
143,125.087
144,138.596
145,88.941
146,0.365
147,139.998
148,123.875
149,111.940
150,115.864
151,268.740
152,160.917
153,158.178
154,153.325
155,187.349
156,184.962
157,121.373
158,130.422
159,128.284
160,268.898
161,1.251
162,87.841
163,87.282
164,159.636
165,111.910
166,104.397
167,105.557
168,139.150
169,169.633
170,147.282
171,309.347
172,107.926
173,161.634
174,95.542
175,81.494
176,163.942
177,186.468
178,167.343
179,133.325
180,121.579
181,286.821
182,116.034
183,229.359
184,121.986
185,116.101
186,260.000
187,156.101
188,130.957
189,113.823
190,118.148
191,90.270
192,113.969
193,118.087
194,146.140
195,241.773
196,149.906
197,232.364
198,102.336
199,171.136
200,164.614
201,154.611
202,78.256
203,102.858
204,155.279
205,0.069
206,120.441
207,234.712
208,143.859
209,97.620
210,277.224
211,125.332
212,115.801
213,113.925
214,101.234
215,195.348
216,210.941
217,117.929
218,1.870
219,275.335
220,90.192
221,90.721
222,92.402
223,122.021
224,89.493
225,112.295
226,93.377
227,98.206
228,95.493
229,105.534
230,114.762
231,184.929
232,165.464
233,124.514
234,112.597
235,183.022
236,350.746
237,129.241
238,227.762
239,232.981
240,88.473
241,202.103
242,121.108
243,185.496
244,170.576
245,132.395
246,127.387
247,174.527
248,95.543
249,229.145
250,97.936
251,133.202
252,122.107
253,241.982
254,126.352
255,150.161
256,82.578
257,115.341
258,126.814
259,118.929
260,126.497
261,134.776
262,192.088
263,126.591
264,135.349
265,112.291
266,279.329
267,160.750
268,130.965
269,254.518
270,139.829
271,86.017
272,94.547
273,126.452
274,139.990
275,167.550
276,91.937
277,91.253
278,235.600
279,92.800
280,104.552
281,123.876
282,258.107
283,91.993
284,145.131
285,100.300
286,134.398
287,172.685
288,113.749
289,110.939
290,219.976
291,88.098
292,123.164
293,222.413
294,93.685
295,162.416
296,138.886
297,111.259
298,1.459
299,121.243
300,83.022
301,166.930
302,166.427
303,145.670
304,84.314
305,349.649
306,135.465
307,129.243
308,100.811
309,102.049
310,213.054
311,102.427
312,139.530
313,0.930
314,75.643
315,239.805
316,74.784
317,168.805
318,168.200
319,120.811
320,78.157
321,190.795
322,131.400
323,328.141
324,159.659
325,119.476
326,87.319
327,96.195
328,159.076
329,113.670
330,225.632
331,107.589
332,0.481
333,242.195
334,0.562
335,134.432
336,143.243
337,0.897
338,265.714
339,88.351
340,149.405
341,131.859
342,297.151
343,130.530
344,119.188
345,77.520
346,209.884
347,83.766
348,0.832
349,67.808
350,123.668
351,171.055
352,83.474
353,100.637
354,121.981
355,128.871
356,140.670
357,90.535
358,259.927
359,90.042
360,89.371
361,138.697
362,78.197
363,97.430
364,270.711
365,112.207
366,84.879
367,112.092
368,218.396
369,143.699
370,172.374
371,95.227
372,96.679
373,195.319
374,159.341
375,81.615
376,100.924
377,176.539
378,160.885
379,172.868
380,196.180
381,118.023
382,90.581
383,275.254
384,149.332
385,146.257
386,233.041
387,116.853
388,255.917
389,157.862
390,93.409
391,118.413
392,288.453
393,118.532
394,95.713
395,130.110
396,209.764
397,139.329
398,173.684
399,124.041
400,78.470
401,101.923
402,245.482
403,89.659
404,155.435
405,80.629
406,102.327
407,327.573
408,108.810
409,93.339
410,114.408
411,100.985
412,225.152
413,145.246
414,110.666
415,147.275
416,105.508
417,174.156
418,183.905
419,104.780
420,167.589
421,189.806
422,161.043
423,178.611
424,161.819
425,170.660
426,128.312
427,251.609
428,137.820
429,147.909
430,104.691
431,97.343
432,191.892
433,117.531
434,126.751
435,184.182
436,271.567
437,113.386
438,139.235
439,132.516
440,324.088
441,215.225
442,111.348
443,107.322
444,128.668
445,302.307
446,109.489
447,117.228
448,79.530
449,263.680
450,186.928
451,174.347
452,101.454
453,112.537
454,105.631
455,172.478
456,146.782
457,155.742
458,97.379
459,0.222
460,92.856
461,340.751
462,97.709
463,105.485
464,112.326
465,176.174
466,149.338
467,130.565
468,127.285
469,168.052
470,100.070
471,364.334
472,82.091
473,168.625
474,111.294
475,84.010
476,239.551
477,195.850
478,181.389
479,96.677
480,194.796
481,100.476
482,320.767
483,79.157
484,147.960
485,151.105
486,146.955
487,141.394
488,200.897
489,102.448
490,205.145
491,146.354
492,153.036
493,186.927
494,111.695
495,72.888
496,169.009
497,73.601
498,81.763
499,84.297
500,74.390
501,137.306
502,101.685
503,113.013
504,143.107
505,213.980
506,83.335
507,87.343
508,93.199
509,312.549
510,101.043
511,137.100
512,123.558
513,71.316
514,0.610
515,120.781
516,105.559
517,167.016
518,94.134
519,127.976
520,180.726
521,131.272
522,124.665
523,137.835
524,99.352
525,172.947
526,214.450
527,107.298
528,112.948
529,106.363
530,76.064
531,129.014
532,130.240
533,87.457
534,159.394
535,89.855
536,223.650
537,98.104
538,237.830
539,94.982
540,214.799
541,102.740
542,92.841
543,75.318
544,131.945
545,77.318
546,148.651
547,86.871
548,162.964
549,0.631
550,125.918
551,73.483
552,154.952
553,168.030
554,131.722
555,80.590
556,121.379
557,63.667
558,372.568
559,96.377
560,85.330
561,0.615
562,152.807
563,163.357
564,108.699
565,74.517
566,191.001
567,243.482
568,202.336
569,71.943
570,0.383
571,0.439
572,276.067
573,102.026
574,115.822
575,146.263
576,191.662
577,0.734
578,68.464
579,134.529
580,78.368
581,289.217
582,139.714
583,85.496
584,103.112
585,203.220
586,135.098
587,218.283
588,92.774
