 ,Area
1,299.402
2,110.487
3,171.462
4,85.906
5,234.444
6,0.812
7,0.453
8,130.470
9,85.795
10,171.479
11,321.248
12,121.598
13,0.496
14,98.145
15,144.974
16,126.299
17,108.906
18,124.274
19,151.769
20,113.248
21,141.761
22,413.504
23,110.009
24,147.060
25,218.120
26,105.043
27,216.564
28,160.880
29,0.402
30,251.222
31,175.094
32,130.658
33,76.829
34,124.880
35,212.222
36,119.154
37,117.333
38,160.333
39,121.410
40,275.889
41,111.889
42,0.402
43,238.308
44,117.949
45,237.983
46,139.462
47,215.103
48,147.308
49,217.077
50,249.359
51,115.805
52,85.223
53,134.709
54,0.398
55,108.795
56,170.429
57,97.387
58,131.315
59,110.778
60,155.214
61,236.023
62,140.946
63,132.932
64,134.709
65,235.450
66,77.918
67,135.864
68,90.735
69,230.120
70,101.601
71,210.245
72,167.721
73,100.900
74,114.092
75,138.031
76,90.026
77,200.462
78,0.239
79,123.134
80,204.620
81,99.036
82,156.297
83,152.099
84,201.832
85,151.964
86,123.883
87,186.696
88,167.402
89,315.120
90,112.937
91,113.160
92,261.077
93,165.785
94,164.208
95,264.805
96,109.177
97,332.470
98,144.221
99,101.108
100,329.541
101,83.252
102,94.020
103,112.348
104,165.200
105,238.859
106,82.138
107,164.898
108,144.603
109,204.925
110,178.013
111,124.315
112,93.377
113,93.331
114,0.230
115,254.092
116,74.157
117,96.643
118,211.213
119,95.325
120,220.151
121,203.390
122,132.852
123,161.980
124,209.069
125,88.125
126,160.157
127,118.367
128,166.800
129,103.410
130,100.295
131,0.348
132,135.416
133,115.370
134,100.852
135,109.482
136,182.184
137,226.708
138,106.092
139,116.734
140,171.193
141,232.885
142,179.193
143,131.226
144,144.007
145,84.354
146,0.466
147,147.987
148,127.074
149,0.621
150,0.621
151,268.201
152,161.250
153,167.600
154,154.783
155,198.170
156,190.953
157,127.313
158,130.256
159,128.617
160,273.520
161,0.259
162,89.095
163,88.317
164,168.624
165,114.401
166,105.456
167,107.743
168,145.442
169,171.915
170,139.556
171,300.082
172,111.745
173,161.072
174,95.944
175,85.845
176,151.902
177,183.872
178,162.206
179,134.694
180,120.239
181,284.616
182,115.930
183,218.354
184,118.498
185,116.190
186,251.772
187,153.499
188,127.634
189,110.522
190,112.503
191,85.203
192,121.441
193,117.692
194,138.191
195,234.537
196,146.023
197,229.515
198,101.051
199,168.315
200,174.695
201,161.445
202,78.720
203,0.341
204,164.611
205,0.293
206,142.717
207,248.332
208,157.379
209,108.822
210,322.317
211,123.600
212,113.618
213,119.977
214,104.216
215,207.409
216,225.940
217,135.348
218,0.164
219,271.543
220,93.539
221,101.904
222,99.140
223,0.321
224,97.203
225,104.394
226,93.102
227,104.735
228,100.982
229,108.058
230,126.956
231,200.136
232,163.847
233,120.959
234,113.659
235,188.306
236,360.121
237,136.890
238,247.049
239,229.160
240,95.777
241,0.225
242,122.713
243,191.233
244,181.019
245,153.674
246,126.584
247,180.011
248,97.354
249,234.628
250,102.930
251,140.269
252,135.008
253,245.537
254,127.426
255,165.922
256,89.876
257,126.325
258,137.849
259,132.548
260,128.470
261,138.577
262,197.977
263,135.259
264,143.579
265,115.627
266,296.277
267,165.817
268,138.844
269,281.387
270,150.166
271,0.283
272,101.198
273,131.893
274,154.067
275,193.356
276,102.800
277,105.940
278,258.347
279,97.151
280,107.575
281,134.183
282,300.105
283,100.898
284,174.962
285,117.205
286,155.345
287,194.975
288,119.058
289,142.616
290,242.462
291,109.258
292,137.420
293,244.299
294,103.561
295,177.254
296,0.065
297,0.065
298,0.065
299,0.065
300,0.065
301,0.065
302,179.338
303,151.269
304,95.052
305,0.085
306,0.085
307,132.234
308,97.789
309,108.887
310,230.290
311,0.327
312,151.106
313,0.222
314,80.099
315,258.379
316,79.374
317,179.234
318,181.553
319,132.502
320,87.494
321,0.098
322,130.966
323,350.276
324,179.887
325,134.984
326,0.235
327,107.065
328,163.569
329,0.157
330,236.509
331,114.688
332,0.039
333,259.124
334,0.235
335,136.944
336,156.227
337,0.085
338,291.759
339,91.047
340,165.424
341,142.888
342,324.284
343,127.328
344,121.962
345,87.397
346,217.649
347,98.482
348,0.107
349,76.829
350,139.086
351,181.263
352,87.793
353,110.393
354,132.603
355,135.129
356,154.155
357,108.357
358,255.163
359,91.696
360,0.181
361,146.476
362,88.760
363,98.132
364,290.595
365,113.020
366,82.613
367,0.302
368,217.131
369,158.354
370,179.698
371,100.027
372,101.841
373,187.921
374,164.756
375,80.880
376,103.688
377,183.090
378,167.121
379,155.962
380,190.951
381,117.232
382,94.531
383,274.740
384,153.846
385,153.174
386,219.409
387,117.763
388,252.099
389,154.330
390,100.282
391,130.158
392,296.533
393,126.936
394,103.965
395,137.300
396,222.217
397,144.740
398,184.005
399,127.691
400,84.359
401,105.733
402,252.853
403,0.095
404,160.660
405,0.333
406,108.888
407,321.999
408,109.786
409,0.231
410,125.107
411,107.548
412,233.682
413,152.642
414,106.562
415,146.590
416,111.499
417,181.224
418,192.547
419,0.211
420,182.169
421,188.677
422,157.198
423,175.070
424,168.970
425,170.683
426,133.376
427,261.326
428,129.378
429,152.486
430,108.603
431,97.436
432,204.495
433,123.978
434,134.832
435,187.644
436,274.362
437,0.224
438,138.864
439,141.836
440,326.474
441,200.299
442,106.958
443,130.796
444,318.214
445,116.341
446,116.083
447,86.786
448,276.327
449,196.643
450,183.307
451,107.862
452,126.836
453,113.938
454,184.103
455,158.788
456,158.745
457,99.978
458,0.201
459,100.897
460,361.241
461,97.059
462,110.839
463,0.330
464,0.330
465,168.651
466,138.027
467,128.458
468,160.230
469,0.179
470,396.413
471,0.158
472,190.337
473,128.544
474,88.006
475,256.564
476,214.261
477,195.423
478,0.215
479,212.518
480,107.561
481,0.172
482,85.861
483,162.561
484,155.050
485,158.329
486,163.981
487,220.158
488,115.545
489,221.090
490,0.141
491,0.141
492,161.645
493,190.896
494,116.499
495,81.779
496,183.564
497,83.606
498,83.747
499,87.641
500,75.944
501,152.443
502,112.162
503,127.684
504,168.197
505,234.685
506,84.260
507,97.167
508,103.290
509,350.411
510,108.464
511,149.251
512,112.787
513,71.227
514,0.316
515,135.037
516,119.599
517,0.232
518,108.815
519,140.928
520,203.009
521,141.434
522,140.091
523,160.408
524,112.612
525,206.475
526,244.703
527,119.796
528,127.262
529,121.589
530,86.728
531,158.854
532,147.023
533,94.039
534,171.388
535,100.373
536,265.413
537,0.380
538,277.497
539,83.220
540,221.918
541,0.129
542,94.637
543,82.166
544,0.342
545,83.678
546,153.864
547,90.275
548,166.173
549,0.116
