 ,Area
1,282.639
2,97.113
3,161.394
4,76.355
5,220.759
6,80.561
7,1.179
8,128.495
9,78.631
10,162.153
11,312.470
12,121.567
13,130.268
14,96.016
15,134.227
16,115.604
17,101.237
18,117.056
19,142.870
20,99.406
21,136.511
22,387.926
23,103.365
24,138.260
25,203.662
26,90.425
27,199.307
28,153.682
29,1.023
30,231.563
31,162.532
32,122.804
33,64.619
34,111.761
35,204.544
36,106.837
37,114.837
38,149.386
39,112.371
40,258.590
41,103.769
42,1.072
43,243.076
44,110.037
45,231.728
46,136.751
47,204.660
48,139.654
49,206.375
50,242.687
51,109.241
52,75.456
53,122.321
54,67.639
55,104.786
56,166.631
57,95.122
58,128.607
59,102.031
60,145.295
61,231.492
62,134.423
63,124.552
64,123.505
65,225.252
66,68.962
67,124.298
68,83.850
69,221.351
70,99.531
71,200.508
72,154.043
73,92.337
74,105.632
75,135.377
76,92.191
77,190.698
78,0.785
79,124.229
80,197.753
81,97.246
82,144.149
83,143.779
84,198.107
85,150.512
86,107.409
87,179.549
88,154.690
89,303.339
90,105.240
91,110.941
92,240.225
93,154.643
94,151.443
95,252.812
96,106.117
97,318.420
98,134.885
99,95.394
100,314.993
101,82.595
102,90.660
103,104.141
104,156.469
105,229.514
106,84.714
107,156.654
108,135.077
109,197.678
110,178.295
111,114.674
112,93.218
113,87.680
114,0.906
115,249.866
116,69.319
117,91.808
118,205.685
119,92.829
120,216.735
121,204.472
122,129.284
123,154.153
124,202.897
125,85.186
126,152.003
127,116.984
128,161.848
129,104.243
130,98.386
131,100.740
132,127.664
133,107.382
134,98.009
135,102.176
136,180.305
137,215.389
138,103.126
139,112.454
140,158.639
141,225.112
142,166.192
143,123.408
144,133.546
145,79.010
146,123.950
147,148.105
148,126.812
149,105.993
150,107.447
151,265.993
152,157.693
153,164.075
154,152.778
155,187.208
156,195.891
157,123.160
158,128.075
159,132.771
160,271.201
161,0.744
162,83.932
163,81.672
164,164.362
165,109.038
166,108.689
167,108.942
168,141.686
169,172.935
170,142.867
171,304.253
172,111.522
173,156.287
174,96.410
175,83.392
176,157.495
177,191.311
178,161.556
179,131.788
180,118.328
181,283.256
182,111.570
183,215.345
184,125.215
185,110.539
186,250.717
187,151.038
188,126.375
189,111.352
190,117.420
191,91.925
192,113.611
193,120.799
194,135.290
195,243.160
196,148.805
197,226.336
198,93.463
199,161.678
200,168.691
201,150.631
202,74.557
203,101.154
204,154.597
205,1.034
206,130.846
207,242.275
208,141.336
209,100.470
210,305.919
211,119.443
212,113.087
213,117.470
214,105.161
215,198.443
216,229.966
217,140.154
218,2.282
219,266.591
220,87.946
221,96.564
222,95.409
223,115.443
224,95.658
225,106.671
226,91.899
227,103.919
228,101.953
229,107.926
230,120.470
231,195.805
232,154.228
233,120.792
234,119.477
235,183.886
236,362.430
237,132.993
238,249.174
239,230.705
240,90.188
241,0.564
242,116.356
243,188.463
244,178.577
245,140.886
246,141.596
247,182.261
248,101.762
249,250.768
250,106.772
251,149.710
252,135.261
253,262.432
