 ,Area,Angle,Length
1,266.041,0,0
2,106.060,0,0
3,162.444,0,0
4,81.617,0,0
5,225.232,0,0
6,0.713,0,0
7,0.476,0,0
8,128.354,0,0
9,82.008,0,0
10,162.716,0,0
11,315.979,0,0
12,110.807,0,0
13,128.184,0,0
14,91.401,0,0
15,139.539,0,0
16,115.895,0,0
17,108.642,0,0
18,120.999,0,0
19,141.925,0,0
20,100.794,0,0
21,129.415,0,0
22,420.009,0,0
23,107.690,0,0
24,150.936,0,0
25,210.200,0,0
26,95.732,0,0
27,208.569,0,0
28,157.731,0,0
29,3.508,0,0
30,264.470,0,0
31,172.313,0,0
32,129.424,0,0
33,75.995,0,0
34,122.808,0,0
35,210.192,0,0
36,123.521,0,0
37,132.694,0,0
38,167.948,0,0
39,128.651,0,0
40,279.137,0,0
41,102.552,0,0
42,2.344,0,0
43,268.495,0,0
44,113.185,0,0
45,256.937,0,0
46,139.870,0,0
47,208.145,0,0
48,153.425,0,0
49,227.942,0,0
50,245.665,0,10.610
51,110.051,0,0
52,82.311,0,0
53,130.182,0,0
54,75.079,0,0
55,97.713,0,0
56,162.091,0,0
57,98.954,0,0
58,136.060,0,0
59,114.128,0,0
60,150.015,0,0
61,242.190,0,0
62,134.571,0,0
63,137.294,0,0
64,123.765,0,0
65,235.546,0,0
66,79.078,0,0
67,134.408,0,0
68,81.836,0,0
69,229.710,0,0
70,99.145,0,0
71,218.797,0,0
72,172.238,0,0
73,99.592,0,0
74,113.767,0,0
75,135.614,0,0
76,94.011,0,0
77,193.199,0,0
78,1.595,0,0
79,124.311,0,0
80,204.317,0,0
81,101.407,0,0
82,146.073,0,0
83,149.533,0,0
84,193.646,0,0
85,158.461,0,0
86,132.962,0,0
87,195.617,0,0
88,162.836,0,0
89,316.793,0,0
90,106.229,0,0
91,0.199,0,0
92,283.998,0,0
93,171.713,0,0
94,172.451,0,0
95,272.511,0,0
96,115.809,0,0
97,342.143,0,0
98,139.542,0,0
99,113.891,0,0
100,380.554,0,0
101,105.973,0,0
102,108.741,0,0
103,130.269,0,0
104,186.096,0,0
105,279.414,0,0
106,103.966,0,0
107,198.481,0,0
108,167.191,0,0
109,248.665,0,0
110,217.289,0,0
111,143.589,0,0
112,103.446,0,0
113,116.351,0,0
114,146.001,0,0
115,314.928,0,0
116,90.656,0,0
117,120.778,0,0
118,250.980,0,0
119,114.769,0,0
120,287.265,0,0
121,265.891,0,0
122,165.552,0,0
123,194.188,0,0
124,261.348,0,0
125,109.194,0,0
126,185.739,0,0
127,154.807,0,0
128,209.737,0,0
129,130.443,0,0
130,122.495,0,0
131,111.692,0,0
132,166.815,0,0
133,137.783,0,0
134,137.185,0,0
135,141.737,0,0
136,252.976,0,0
137,309.855,0,0
138,141.602,0,0
139,144.178,0,0
140,208.213,0,0
141,330.119,0,0
142,260.731,0,0
143,167.866,0,0
144,184.302,0,0
145,116.148,0,0
146,1.235,0,0
147,214.974,0,0
148,121.186,0,0
149,107.722,0,0
150,101.492,0,0
151,266.446,0,0
152,155.207,0,0
153,159.885,0,0
154,157.150,0,0
155,203.987,0,0
156,194.888,0,0
157,125.722,0,0
158,125.031,0,0
159,132.963,0,0
160,269.671,0,0
161,104.297,0,0
162,88.512,0,0
163,90.512,0,0
164,174.054,0,0
165,116.537,0,0
166,115.575,0,0
167,110.121,0,0
168,137.207,0,0
169,185.226,0,0
170,148.777,0,0
171,309.310,0,0
172,116.330,0,0
173,163.965,0,0
174,91.723,0,0
175,88.526,0,0
176,163.253,0,0
177,202.079,0,0
178,169.063,0,0
179,135.726,0,0
180,122.439,0,0
181,301.734,0,0
182,114.016,0,0
183,245.463,0,0
184,132.685,0,0
185,118.822,0,0
186,265.748,0,0
187,162.690,0,0
188,133.839,0,0
189,114.707,0,0
190,135.242,0,0
191,96.337,0,0
192,0.484,0,0
193,119.079,0,0
194,151.141,0,0
195,250.034,0,0
196,153.448,0,0
197,241.709,0,0
198,104.078,0,0
199,178.809,0,0
200,172.745,0,0
201,161.078,0,0
202,81.026,0,0
203,88.108,0,0
204,162.742,0,0
205,3.589,0,0
206,144.401,0,0
207,246.971,0,0
208,151.833,0,0
209,104.546,0,0
210,294.941,0,0
211,126.804,0,0
212,120.895,0,0
213,130.029,0,0
214,97.085,0,0
215,198.287,0,0
216,212.645,0,0
217,136.145,0,0
218,1.219,0,0
219,293.626,0,0
220,95.703,0,0
221,109.481,0,0
222,101.722,0,0
223,104.048,0,0
224,101.157,0,0
225,113.954,0,0
226,93.124,0,0
227,112.713,0,0
228,102.324,0,0
229,108.819,0,0
230,117.388,0,0
231,184.078,0,0
232,171.444,0,0
233,140.500,0,0
234,122.672,0,0
235,184.747,0,0
236,358.146,0,0
237,137.750,0,0
238,248.762,0,0
239,262.867,0,0
240,111.926,0,0
241,1.442,0,0
242,131.270,0,0
243,206.766,0,0
244,180.987,0,0
245,153.364,0,0
246,140.162,0,0
247,189.494,0,0
248,102.472,0,0
249,246.452,0,0
250,99.246,0,0
251,145.009,0,0
252,132.419,0,0
253,263.684,0,0
254,159.504,0,0
255,171.116,0,0
256,92.517,0,0
257,127.718,0,0
258,135.141,0,0
259,134.572,0,0
260,146.155,0,0
261,163.387,0,0
262,204.536,0,0
263,132.324,0,0
264,145.753,0,0
265,110.034,0,0
266,298.841,0,0
267,178.502,0,0
268,153.993,0,0
269,296.017,0,0
270,150.213,0,0
271,1.073,0,0
272,99.079,0,0
273,133.156,0,0
274,162.679,0,0
275,210.747,0,0
276,110.764,0,0
277,102.180,0,0
278,260.144,0,0
279,104.896,0,0
280,106.976,0,0
281,134.002,0,0
282,304.235,0,0
283,96.466,0,0
284,179.152,0,0
285,116.500,0,0
286,160.942,0,0
287,196.223,0,0
288,134.382,0,0
289,145.709,0,0
290,246.649,0,0
291,99.006,0,0
292,135.572,0,0
293,251.853,0,0
294,91.583,0,0
295,180.472,0,0
296,125.001,0,0
297,97.236,0,0
298,1.471,0,0
299,0.945,0,0
300,79.961,0,0
301,152.015,0,0
302,182.909,0,0
303,146.789,0,0
304,94.120,0,0
305,2.763,0,0
306,127.085,0,0
307,121.054,0,0
308,90.133,0,0
309,107.334,0,0
310,222.883,0,0
311,1.245,0,0
312,140.438,0,0
313,0.726,0,0
314,81.060,0,0
315,233.787,0,0
316,77.332,0,0
317,189.406,0,0
318,181.424,0,0
319,125.534,0,0
320,60.350,0,0
321,1.325,0,0
322,125.753,0,0
323,348.902,0,0
324,165.974,0,0
325,133.901,0,0
326,63.812,0,0
327,77.359,0,0
328,146.003,0,0
329,95.312,0,0
330,252.499,0,0
331,108.586,0,0
332,0.626,0,0
333,249.024,0,0
334,0.945,0,0
335,125.680,0,0
336,137.163,0,0
337,2.097,0,0
338,299.156,0,0
339,92.217,0,0
340,159.916,0,0
341,139.633,0,0
342,315.865,0,0
343,124.409,0,0
344,123.798,0,0
345,80.619,0,0
346,220.600,0,0
347,92.359,0,0
348,0.748,0,0
349,75.636,0,0
350,132.007,0,0
351,173.569,0,0
352,82.577,0,0
353,109.232,0,0
354,126.326,0,0
355,133.858,0,0
356,147.990,0,0
357,100.376,0,0
358,266.569,0,0
359,94.523,0,0
360,84.165,0,0
361,149.506,0,0
362,83.560,0,0
363,99.884,0,0
364,290.597,0,0
365,119.242,0,0
366,86.393,0,0
367,89.447,0,0
368,214.420,0,0
369,161.459,0,0
370,180.959,0,0
371,109.709,0,0
372,111.980,0,0
373,208.112,0,0
374,178.318,0,0
375,86.536,0,0
376,106.605,0,0
377,183.437,0,0
378,162.620,0,0
379,173.947,0,0
380,205.108,0,0
381,136.741,0,0
382,105.188,0,0
383,295.994,0,0
384,160.883,0,0
385,155.928,0,0
386,249.426,0,0
387,109.802,0,0
388,184.078,0,0
389,168.323,0,0
390,104.256,0,0
391,132.954,0,0
392,317.045,0,0
393,112.860,0,0
394,91.110,0,0
395,126.532,0,0
396,218.488,0,0
397,136.817,0,0
398,175.855,0,0
399,123.867,0,0
400,75.002,0,0
401,96.814,0,0
402,236.845,0,0
403,1.714,0,0
404,150.982,0,0
405,1.034,0,0
406,112.804,0,0
407,319.342,0,0
408,115.060,0,0
409,0.888,0,0
410,116.830,0,0
411,100.985,0,0
412,224.068,0,0
413,147.394,0,0
414,112.464,0,0
415,147.776,0,0
416,120.244,0,0
417,173.399,0,0
418,192.276,0,0
419,83.663,0,0
420,177.195,0,0
421,182.379,0,0
422,161.108,0,0
423,176.889,0,0
424,173.412,0,0
425,170.643,0,0
426,126.796,0,0
427,264.293,0,0
428,139.711,0,0
429,155.264,0,0
430,114.442,0,0
431,91.311,0,0
432,208.252,0,0
433,123.270,0,0
434,135.027,0,0
435,205.698,0,0
436,279.839,0,0
437,92.033,0,0
438,136.790,0,0
439,145.916,0,0
440,328.114,0,0
441,192.061,0,0
442,122.435,0,0
443,109.256,0,0
444,122.177,0,0
445,302.365,0,0
446,113.500,0,0
447,116.641,0,0
448,82.882,0,0
449,271.778,0,0
450,198.128,0,0
451,178.880,0,0
452,108.904,0,0
453,119.507,0,0
454,110.971,0,0
455,180.227,0,0
456,152.717,0,0
457,159.295,0,0
458,104.002,0,0
459,2.553,0,0
460,101.832,0,0
461,361.261,0,0
462,98.990,0,0
463,124.338,0,0
464,102.655,0,0
465,169.554,0,0
466,137.933,0,0
467,147.384,0,0
468,90.971,0,0
469,168.434,0,0
470,82.756,0,0
471,397.807,0,0
472,80.979,0,0
473,152.702,0,0
474,129.593,0,0
475,97.870,0,0
476,256.562,0,0
477,227.416,0,0
478,193.594,0,0
479,1.034,0,0
480,225.215,0,0
481,116.586,0,0
482,335.489,0,0
483,91.480,0,0
484,160.963,0,0
485,116.813,0,0
486,168.113,0,0
487,164.699,0,0
488,231.629,0,0
489,120.282,0,0
490,233.673,0,0
491,135.740,0,0
492,164.363,0,0
493,187.979,0,0
494,113.187,0,0
495,78.291,0,0
496,187.438,0,0
497,80.125,0,0
498,83.082,0,0
499,92.609,0,0
500,77.222,0,0
501,148.962,0,0
502,108.673,0,0
503,124.115,0,0
504,158.307,0,0
505,242.620,0,0
506,87.284,0,0
507,98.049,0,0
508,103.267,0,0
509,351.605,0,0
510,104.633,0,0
511,139.462,0,0
512,111.197,0,0
513,71.876,0,0
514,0.636,0,0
515,132.086,0,0
516,119.148,0,0
517,161.075,0,0
518,108.788,0,0
519,145.078,0,0
520,201.506,0,0
521,143.630,0,0
522,142.649,0,0
523,161.102,0,0
524,110.385,0,0
525,204.206,0,0
526,257.290,0,0
527,111.312,0,0
528,117.558,0,0
529,108.998,0,0
530,86.120,0,0
531,145.389,0,0
532,132.499,0,0
533,97.603,0,0
534,165.635,0,0
535,104.207,0,0
536,256.999,0,0
537,2.578,0,0
538,283.782,0,0
539,79.752,0,0
540,209.364,0,0
541,92.512,0,0
542,90.414,0,0
543,75.643,0,0
544,1.681,0,0
545,80.854,0,0
546,137.581,0,0
547,94.326,0,0
548,161.565,0,0
549,135.482,0,0
550,136.790,0,0
551,75.198,0,0
552,167.310,0,0
553,176.825,0,0
554,139.555,0,0
555,90.992,0,0
556,135.064,0,0
557,67.559,0,0
558,389.622,0,0
559,112.059,0,0
560,98.657,0,0
561,2.632,0,0
562,168.946,0,0
563,179.902,0,0
564,0.329,0,0
565,78.195,0,0
566,188.946,0,0
567,221.992,0,0
568,222.668,0,0
569,92.272,0,0
570,2.339,0,0
571,0.925,0,0
572,310.022,0,0
573,125.024,0,0
574,134.193,0,0
575,179.449,0,0
576,209.622,0,0
577,0.320,0,0
578,58.968,0,0
579,154.629,0,0
580,93.811,0,0
581,272.735,0,0
582,165.318,0,0
583,102.739,0,0
584,114.620,0,0
585,242.766,0,0
586,163.308,0,0
587,243.931,0,0
588,111.080,0,0
