 ,Area
1,112.917
2,95.957
3,134.179
4,311.279
5,114.506
6,117.824
7,89.119
8,260.211
9,178.348
10,174.761
11,103.441
12,113.103
13,112.643
14,178.275
15,144.939
16,138.961
17,94.450
18,2.003
19,90.626
20,328.053
21,90.714
22,97.401
23,103.161
24,162.878
25,143.485
26,123.356
27,110.505
28,145.839
29,89.032
30,323.468
31,80.885
32,163.142
33,106.463
34,75.652
35,209.402
36,168.623
37,147.713
38,87.391
39,170.181
40,91.821
41,276.468
42,67.019
43,124.226
44,120.763
45,124.847
46,129.500
47,165.745
48,88.343
49,171.888
