 ,Area,Angle,Length,,length,width,area,,,,
1,1.422,-82.22,19.41,,19.41,14.722,225.574,,19.41,14.722,225.574
2,1.081,9.416,14.722,,,,,,12.698,10.919,102.461
3,225.574,0,0,,,,,,11.33,9.131,80.499
4,0.932,-83.896,12.698,,12.698,10.919,102.461,,13.655,11.458,122.159
5,0.804,9.62,10.919,,,,,,10.357,8.599,70.415
6,102.461,0,0,,,,,,12.673,10.371,107.66
7,0.831,-79.233,11.33,,11.33,9.131,80.499,,16.953,12.771,161.796
8,0.671,9.199,9.131,,,,,,10.964,10.208,84.877
9,80.499,0,0,,,,,,12.462,11.669,117.818
10,1.001,-68.028,13.655,,13.655,11.458,122.159,,13.611,10.116,94.258
11,0.842,27.3,11.458,,,,,,15.331,12.971,143.84
12,122.159,0,0,,,,,,18.256,16.038,228.168
13,0.762,-69.586,10.357,,10.357,8.599,70.415,,14.922,12.452,132.201
14,0.634,31.464,8.599,,,,,,13.698,11.376,124.924
15,70.415,0,0,,,,,,12.788,10.9,110.457
16,0.932,-68.903,12.673,,12.673,10.371,107.66,,18.925,14.275,206.749
17,0.762,28.82,10.371,,,,,,9.322,9.36,67.709
18,107.66,0,0,,,,,,14.461,11.579,116.135
19,1.241,-73.75,16.953,,16.953,12.771,161.796,,12.12,8.154,80.818
20,0.938,28.689,12.771,,,,,,20.541,14.634,219.23
21,161.796,0,0,,,,,,11.726,10.17,95.387
22,0.804,-70.962,10.964,,10.964,10.208,84.877,,17.107,14.027,181.143
23,0.751,28.856,10.208,,,,,,14.287,13.028,143.126
24,84.877,0,0,,,,,,12.605,9.71,86.955
25,0.916,-68.167,12.462,,12.462,11.669,117.818,,11.924,10.271,97.587
26,0.858,46.774,11.669,,,,,,14.596,11.459,123.502
27,117.818,0,0,,,,,,11.317,9.363,84.51
28,0.996,-62.885,13.611,,13.611,10.116,94.258,,18.834,12.382,184.456
29,0.746,45.779,10.116,,,,,,10.367,9.456,73.803
30,94.258,0,0,,,,,,12.302,11.312,107.575
31,1.124,-64.126,15.331,,15.331,12.971,143.84,,17.337,14.419,179.002
32,0.953,34.763,12.971,,,,,,11.087,10.452,86.417
33,143.84,0,0,,,,,,15.329,11.772,138.092
34,1.337,-65.348,18.256,,18.256,16.038,228.168,,14.651,11.216,135.556
35,1.177,30.845,16.038,,,,,,19.057,11.79,181.276
36,228.168,0,0,,,,,,14.53,11.805,127.891
37,1.092,-75.941,14.922,,14.922,12.452,132.201,,12.607,10.426,100.474
38,0.916,23.61,12.452,,,,,,15.878,13.276,162.233
39,132.201,0,0,,,,,,15.948,11.556,144.127
40,1.007,-61.113,13.698,,13.698,11.376,124.924,,20.532,18.096,278.815
41,0.836,39.272,11.376,,,,,,11.387,9.723,93.294
42,124.924,0,0,,,,,,11.878,10.22,95.525
43,0.938,-68.927,12.788,,12.788,10.9,110.457,,19.297,15.268,215.309
44,0.799,29.483,10.9,,,,,,14.209,11.452,139.871
45,110.457,0,0,,,,,,16.582,10.233,136.26
46,1.385,-82.354,18.925,,18.925,14.275,206.749,,20.584,14.054,216.907
47,1.049,18.481,14.275,,,,,,12.336,10.061,93.501
48,206.749,0,0,,,,,,24.547,15.48,285.074
49,0.687,-77.106,9.322,,9.322,9.36,67.709,,13.471,10.996,121.893
50,0.687,19.353,9.36,,,,,,,,
51,67.709,0,0,,,,,,,,
52,1.06,-64.276,14.461,,14.461,11.579,116.135,,,,
53,0.852,30.282,11.579,,,,,,,,
54,116.135,0,0,,,,,,,,
55,0.89,-54.683,12.12,,12.12,8.154,80.818,,,,
56,0.602,44.637,8.154,,,,,,,,
57,80.818,0,0,,,,,,,,
58,1.502,-78.211,20.541,,20.541,14.634,219.23,,,,
59,1.076,17.712,14.634,,,,,,,,
60,219.23,0,0,,,,,,,,
61,0.863,-70.55,11.726,,11.726,10.17,95.387,,,,
62,0.746,31.352,10.17,,,,,,,,
63,95.387,0,0,,,,,,,,
64,1.252,-77.683,17.107,,17.107,14.027,181.143,,,,
65,1.028,20.085,14.027,,,,,,,,
66,181.143,0,0,,,,,,,,
67,1.049,-69.204,14.287,,14.287,13.028,143.126,,,,
68,0.959,28.072,13.028,,,,,,,,
69,143.126,0,0,,,,,,,,
70,0.927,-68.784,12.605,,12.605,9.71,86.955,,,,
71,0.714,26.565,9.71,,,,,,,,
72,86.955,0,0,,,,,,,,
73,0.874,-56.991,11.924,,11.924,10.271,97.587,,,,
74,0.756,37.929,10.271,,,,,,,,
75,97.587,0,0,,,,,,,,
76,1.071,-66.576,14.596,,14.596,11.459,123.502,,,,
77,0.842,34.753,11.459,,,,,,,,
78,123.502,0,0,,,,,,,,
79,0.831,-68.233,11.317,,11.317,9.363,84.51,,,,
80,0.687,23.668,9.363,,,,,,,,
81,84.51,0,0,,,,,,,,
82,1.38,-76.098,18.834,,18.834,12.382,184.456,,,,
83,0.911,20.892,12.382,,,,,,,,
84,184.456,0,0,,,,,,,,
85,0.762,-74.692,10.367,,10.367,9.456,73.803,,,,
86,0.698,20.323,9.456,,,,,,,,
87,73.803,0,0,,,,,,,,
88,0.906,-54.66,12.302,,12.302,11.312,107.575,,,,
89,0.831,42.647,11.312,,,,,,,,
90,107.575,0,0,,,,,,,,
91,1.273,-66.295,17.337,,17.337,14.419,179.002,,,,
92,1.06,38.32,14.419,,,,,,,,
93,179.002,0,0,,,,,,,,
94,0.815,-53.432,11.087,,11.087,10.452,86.417,,,,
95,0.767,44.01,10.452,,,,,,,,
96,86.417,0,0,,,,,,,,
97,1.124,-66.425,15.329,,15.329,11.772,138.092,,,,
98,0.863,32.853,11.772,,,,,,,,
99,138.092,0,0,,,,,,,,
100,1.076,-58.963,14.651,,14.651,11.216,135.556,,,,
101,0.826,48.165,11.216,,,,,,,,
102,135.556,0,0,,,,,,,,
103,1.396,-95.274,19.057,,19.057,11.79,181.276,,,,
104,0.868,-1.242,11.79,,,,,,,,
105,181.276,0,0,,,,,,,,
106,1.065,-72.157,14.53,,14.53,11.805,127.891,,,,
107,0.868,18.379,11.805,,,,,,,,
108,127.891,0,0,,,,,,,,
109,0.927,-66.997,12.607,,12.607,10.426,100.474,,,,
110,0.767,20.274,10.426,,,,,,,,
111,100.474,0,0,,,,,,,,
112,1.167,-67.856,15.878,,15.878,13.276,162.233,,,,
113,0.975,30.018,13.276,,,,,,,,
114,162.233,0,0,,,,,,,,
115,1.172,-89.607,15.948,,15.948,11.556,144.127,,,,
116,0.847,8.719,11.556,,,,,,,,
117,144.127,0,0,,,,,,,,
118,1.502,-66.761,20.532,,20.532,18.096,278.815,,,,
119,1.326,29.874,18.096,,,,,,,,
120,278.815,0,0,,,,,,,,
121,0.836,-50.853,11.387,,11.387,9.723,93.294,,,,
122,0.714,60.549,9.723,,,,,,,,
123,93.294,0,0,,,,,,,,
124,0.874,-75.409,11.878,,11.878,10.22,95.525,,,,
125,0.751,28.121,10.22,,,,,,,,
126,95.525,0,0,,,,,,,,
127,1.412,-82.284,19.297,,19.297,15.268,215.309,,,,
128,1.119,13.405,15.268,,,,,,,,
129,215.309,0,0,,,,,,,,
130,1.044,-72.822,14.209,,14.209,11.452,139.871,,,,
131,0.842,21.496,11.452,,,,,,,,
132,139.871,0,0,,,,,,,,
133,1.215,-80.372,16.582,,16.582,10.233,136.26,,,,
134,0.751,14.879,10.233,,,,,,,,
135,136.26,0,0,,,,,,,,
136,1.507,-90.813,20.584,,20.584,14.054,216.907,,,,
137,1.033,1.488,14.054,,,,,,,,
138,216.907,0,0,,,,,,,,
139,0.906,-71.726,12.336,,12.336,10.061,93.501,,,,
140,0.74,34.209,10.061,,,,,,,,
141,93.501,0,0,,,,,,,,
142,1.795,-62.749,24.547,,24.547,15.48,285.074,,,,
143,1.135,36.951,15.48,,,,,,,,
144,285.074,0,0,,,,,,,,
145,0.991,-56.267,13.471,,13.471,10.996,121.893,,,,
146,0.81,46.345,10.996,,,,,,,,
147,121.893,0,0,,,,,,,,
