 ,Area
1,297.317
2,107.925
3,175.717
4,87.826
5,240.632
6,76.772
7,0.582
8,129.819
9,78.994
10,169.780
11,314.231
12,121.362
13,134.835
14,84.022
15,139.399
16,116.370
17,105.316
18,115.199
19,129.884
20,95.837
21,128.547
22,414.174
23,99.658
24,139.274
25,195.596
26,94.292
27,190.111
28,142.145
29,3.150
30,240.686
31,160.319
32,117.196
33,66.841
34,106.986
35,201.462
36,118.462
37,118.028
38,146.127
39,105.471
40,258.218
41,95.676
42,0.166
43,240.430
44,106.742
45,222.595
46,132.963
47,192.524
48,124.833
49,190.818
50,247.348
51,107.845
52,80.851
53,124.611
54,67.511
55,107.287
56,157.037
57,91.113
58,116.285
59,94.409
60,145.162
61,222.970
62,137.821
63,119.119
64,126.041
65,238.987
66,73.544
67,126.660
68,85.202
69,225.403
70,85.149
71,213.894
72,157.970
73,95.229
74,106.868
75,126.721
76,82.909
77,191.285
78,86.501
79,122.231
80,192.759
81,89.884
82,152.913
83,141.308
84,191.451
85,152.931
86,122.388
87,193.256
88,162.443
89,317.170
90,103.407
91,106.929
92,276.871
93,160.429
94,166.149
95,266.582
96,105.107
97,319.489
98,130.505
99,92.436
100,325.307
101,87.275
102,92.620
103,114.910
104,163.366
105,248.410
106,82.862
107,163.148
108,144.635
109,212.395
110,182.649
111,126.228
112,97.513
113,91.900
114,138.930
115,257.427
116,79.452
117,106.240
118,211.844
119,102.392
120,224.136
121,227.342
122,139.572
123,157.294
124,218.537
125,94.378
126,165.499
127,119.337
128,181.046
129,110.984
130,100.740
131,109.417
132,153.976
133,128.551
134,121.116
135,128.120
136,199.382
137,251.630
138,117.304
139,128.374
140,180.502
141,264.967
142,201.352
143,144.924
144,149.556
145,93.093
146,2.281
147,175.207
148,128.357
149,117.043
150,114.435
151,265.972
152,161.827
153,163.013
154,148.421
155,196.520
156,195.577
157,124.077
158,127.937
159,133.277
160,274.892
161,0.935
162,86.254
163,83.351
164,171.071
165,113.131
166,102.657
167,101.641
168,143.530
169,180.013
170,142.838
171,316.501
172,114.406
173,166.423
174,96.617
175,81.098
176,164.515
177,200.873
178,168.485
179,138.013
180,121.514
181,293.667
182,121.632
183,239.396
184,124.445
185,117.440
186,270.686
187,164.523
188,136.452
189,120.284
190,119.635
191,95.682
192,124.725
193,123.112
194,149.297
195,249.951
196,153.975
197,251.151
198,103.485
199,181.993
200,179.239
201,166.272
202,76.368
203,110.841
204,169.560
205,2.104
206,148.287
207,256.403
208,149.383
209,102.126
210,295.529
211,134.371
212,121.287
213,115.472
214,105.822
215,205.230
216,215.633
217,125.342
218,1.096
219,294.390
220,98.875
221,106.516
222,104.756
223,130.353
224,99.014
225,112.192
226,96.844
227,107.466
228,96.961
229,102.630
230,118.606
231,192.848
232,168.595
233,128.329
234,119.351
235,177.464
236,341.077
237,133.983
238,233.260
239,246.914
240,96.851
241,200.504
242,120.593
243,185.602
244,176.404
245,144.927
246,130.392
247,189.864
248,98.942
249,234.451
250,102.887
251,146.652
252,131.435
253,245.023
254,135.460
255,155.321
256,87.720
257,122.563
258,141.406
259,121.680
260,132.374
261,137.786
262,196.644
263,128.981
264,136.841
265,115.600
266,280.872
267,159.953
268,130.607
269,267.466
270,145.682
271,0.644
272,98.604
273,124.410
274,143.111
275,181.342
276,96.684
277,95.886
278,232.844
279,93.990
280,108.347
281,138.927
282,278.737
283,97.230
284,146.007
285,96.776
286,136.430
287,178.906
288,111.973
289,115.722
290,209.590
291,88.542
292,117.796
293,210.130
294,81.738
295,180.219
296,147.088
297,122.417
298,1.452
299,120.960
300,85.721
301,171.436
302,179.684
303,153.028
304,97.941
305,359.708
306,138.761
307,130.920
308,92.439
309,110.185
310,232.384
311,112.159
312,144.871
313,0.850
314,75.433
315,241.045
316,83.596
317,183.012
318,174.528
319,122.678
320,83.796
321,0.905
322,128.157
323,356.684
324,175.439
325,131.625
326,92.007
327,101.773
328,150.282
329,119.824
330,241.330
331,114.188
332,1.178
333,246.827
334,1.925
335,131.570
336,143.948
337,1.111
338,284.397
339,87.902
340,151.807
341,131.977
342,298.038
343,130.890
344,123.179
345,85.214
346,216.884
347,91.162
348,0.976
349,74.900
350,139.195
351,179.803
352,88.833
353,108.830
354,130.203
355,134.107
356,156.702
357,99.931
358,259.860
359,93.268
360,91.262
361,144.198
362,83.169
363,100.553
364,293.883
365,107.800
366,75.469
367,115.962
368,218.091
369,152.252
370,184.960
371,99.677
372,98.701
373,198.578
374,163.142
375,87.073
376,99.854
377,178.466
378,171.934
379,167.353
380,199.416
381,122.733
382,94.236
383,279.749
384,153.904
385,151.184
386,241.531
387,122.717
388,258.231
389,160.390
390,105.664
391,131.848
392,311.897
393,121.426
394,94.019
395,140.434
396,210.231
397,134.604
398,172.876
399,117.196
400,76.438
401,97.850
402,244.648
403,88.023
404,152.996
405,88.955
406,107.610
407,328.847
408,108.113
409,97.257
410,127.760
411,99.383
412,219.803
413,137.805
414,104.575
415,147.700
416,110.630
417,175.708
418,178.248
419,102.554
420,172.282
421,177.594
422,158.060
423,173.297
424,161.456
425,157.369
426,129.924
427,245.452
428,135.138
429,141.253
430,100.615
431,88.759
432,196.948
433,109.706
434,123.755
435,188.015
436,270.095
437,109.571
438,124.507
439,145.416
440,303.100
441,190.502
442,124.134
443,108.246
444,132.385
445,311.187
446,118.417
447,125.518
448,86.936
449,282.136
450,194.448
451,195.105
452,109.578
453,127.490
454,113.548
455,181.976
456,164.480
457,160.502
458,106.508
459,0.787
460,102.348
461,361.911
462,100.445
463,121.358
464,115.952
465,192.285
466,170.448
467,141.111
468,127.637
469,171.286
470,120.796
471,424.121
472,100.748
473,191.031
474,126.037
475,89.315
476,258.361
477,225.773
478,203.909
479,111.135
480,227.330
481,113.894
482,1.470
483,82.257
484,164.938
485,159.144
486,173.674
487,168.649
488,231.568
489,121.626
490,237.933
491,160.971
492,168.130
493,197.901
494,122.742
495,85.844
496,187.318
497,78.184
498,83.073
499,94.246
500,80.613
501,158.733
502,108.988
503,125.709
504,157.763
505,247.728
506,86.833
507,102.990
508,101.563
509,359.893
510,115.107
511,140.560
512,129.374
513,77.918
514,1.693
515,143.832
516,124.092
517,187.997
518,107.866
519,148.099
520,208.579
521,151.149
522,146.945
523,167.718
524,117.612
525,212.156
526,262.110
527,131.930
528,132.818
529,124.777
530,91.291
531,163.723
532,153.939
533,102.819
534,188.815
535,111.785
536,277.505
537,1.909
538,294.601
539,80.663
540,223.966
541,106.510
542,96.047
543,76.832
544,130.255
545,86.711
546,147.617
547,90.262
548,168.121
549,147.430
550,133.557
551,74.859
552,159.141
553,172.208
554,139.866
555,83.450
556,132.503
557,65.255
558,384.322
559,102.289
560,93.886
561,3.215
562,163.456
563,174.752
564,116.221
565,76.188
566,195.591
567,261.530
568,209.174
569,78.503
570,0.779
571,1.550
572,295.913
573,116.342
574,123.557
575,162.819
576,208.604
577,1.000
578,58.282
579,148.510
580,90.832
581,300.128
582,152.785
583,105.517
584,118.906
585,228.383
586,148.832
587,228.765
588,94.060
